date,activity_type,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length
2020-08-20 12:48:59,Running,Portland Running,4.01,689,00:39:37,161,183,3.7,161,180,9:52,8:27,52,33,1.01
2020-08-19 17:43:10,Running,Portland Running,2.01,308,00:17:58,157,177,3.0,167,181,8:57,8:04,20,33,1.08
2020-08-18 14:02:38,Running,Portland Running,3.11,496,00:29:18,156,175,3.4,161,180,9:26,8:20,33,30,1.06
2020-08-17 12:34:10,Walking,Portland Walking,2.31,320,00:38:54,98,145,1.1,108,168,16:50,9:24,36,33,0.88
2020-08-16 15:20:47,Running,Portland Running,1.01,159,00:09:58.0,147,163,2.2,163,178,9:55,8:30,7,3,0.99
2020-08-15 18:57:52,Running,Portland Running,1.01,142,00:07:37.3,173,181,2.4,176,184,7:33,7:08,16,3,1.21
2020-08-13 20:45:01,Running,Portland Running,2.0,313,00:18:32,157,175,3.0,163,172,9:15,8:24,20,52,1.07
2020-08-12 13:10:10,Running,Portland Running,3.11,475,00:27:21,161,175,3.5,169,182,8:48,8:07,36,43,1.08
2020-08-10 12:22:17,Walking,Portland Walking,3.7,537,00:47:28,128,169,2.6,128,181,12:50,8:09,62,49,0.97
2020-08-08 16:56:25,Running,Portland Running,4.02,657,00:37:21,164,178,4.0,164,178,9:18,8:19,46,43,1.06
2020-08-04 14:01:12,Running,Portland Running,3.11,477,00:28:29,158,181,3.4,165,182,9:10,7:51,43,52,1.06
2020-08-02 15:29:17,Running,Portland Running,3.1,477,00:28:57,156,180,3.4,163,186,9:21,7:28,26,39,1.06
2020-08-01 19:43:23,Running,Portland Running,3.1,498,00:28:50,164,179,3.6,164,178,9:17,8:11,102,115,1.05
2020-07-30 12:36:57,Cycling,Portland Cycling,10.11,587,00:48:44,131,177,3.1,0,0,12.4,27.1,440,430,0.0
2020-07-29 12:42:13,Running,Portland Running,4.01,681,00:39:26,163,187,4.2,159,176,9:51,8:17,43,43,1.03
2020-07-23 18:33:20,Cycling,Portland Cycling,10.59,591,01:07:01,118,148,1.1,0,0,9.5,19.1,151,144,0.0
2020-07-23 16:49:24,Running,Portland Running,3.11,514,00:30:26,160,181,3.6,162,176,9:47,7:33,16,33,1.01
2020-07-22 15:04:46,Running,Portland Running,3.0,490,00:27:59,164,178,3.7,165,177,9:19,7:55,52,49,1.05
2020-07-20 12:58:18,Walking,Portland Walking,1.45,189,00:27:09,99,115,0.3,102,109,18:45,15:42,23,26,0.84
2020-07-16 11:58:58,Running,Portland Running,3.01,482,00:28:27,161,175,3.5,162,178,9:28,8:11,59,59,1.05
2020-07-15 20:16:05,Cycling,Portland Cycling,6.03,278,00:46:45,98,124,0.3,0,0,7.7,16.3,135,138,0.0
2020-07-14 13:26:36,Running,Portland Running,4.01,656,00:38:47,159,178,3.9,165,180,9:41,8:35,66,66,1.01
2020-07-12 15:58:52,Walking,Portland Walking,1.73,284,00:57:20,82,105,0.3,56,137,33:12,14:31,75,62,0.9
2020-07-11 12:37:31,Cycling,Multnomah County Cycling,42.73,"1,576",02:45:24,128,174,2.3,0,0,15.5,34.9,646,"4,275",0.0
2020-07-11 07:48:28,Cycling,Portland Cycling,84.62,0,07:42:36,0,0,0,0,0,11.0,97.4,"4,797","4,795",0.0
2020-07-11 07:47:50,Cycling,Portland Cycling,41.54,"2,832",03:59:28,146,180,3.3,0,0,10.4,27.9,"4,199",594,0.0
2020-07-07 17:47:15,Running,Portland Running,3.11,500,00:28:38,164,182,3.6,166,180,9:13,7:51,33,49,1.05
2020-07-06 18:33:33,Cycling,Portland Cycling,16.06,787,01:09:45,135,180,3.0,0,0,13.8,25.8,351,377,0.0
2020-07-05 11:58:57,Stand Up Paddleboarding,Deschutes County SUP,4.9,306,01:23:54,81,96,0.1,0,0,17:08,7:00,0,0,0.0
2020-07-04 08:48:54,Hiking,Deschutes County Hiking,6.23,"1,096",02:34:12,109,166,2.2,91,218,24:46,8:23,"1,562","1,621",0.72
2020-07-03 12:56:26,Walking,Deschutes County Walking,2.64,364,00:56:00,99,118,0.4,93,128,21:11,14:54,89,82,0.82
2020-07-01 19:43:40,Running,Portland Running,3.0,488,00:29:48,155,167,3.2,162,174,9:55,8:54,36,69,1.0
2020-06-25 18:15:10,Running,Portland Running,3.11,503,00:28:24,166,177,3.7,165,178,9:09,8:03,30,43,1.06
2020-06-24 12:39:09,Running,Portland Running,3.1,502,00:28:30,164,177,3.6,164,176,9:11,8:20,43,49,1.07
2020-06-23 12:30:53,Running,Portland Running,3.11,510,00:30:23,159,175,3.3,156,174,9:46,8:14,30,39,1.06
2020-06-22 17:46:47,Running,Portland Running,2.01,323,00:19:23,157,170,3.0,163,178,9:40,8:49,20,23,1.02
2020-06-18 12:33:33,Running,Portland Running,2.01,279,00:17:36,147,175,2.7,165,178,8:47,8:04,30,30,1.11
2020-06-17 12:27:24,Running,Portland Running,3.01,491,00:28:06,164,182,3.6,163,178,9:21,7:58,49,72,1.06
2020-06-15 12:44:41,Running,Portland Running,3.12,488,00:28:10,162,180,3.6,162,184,9:02,7:36,49,79,1.1
2020-06-14 10:02:12,Running,Portland Running,2.01,271,00:16:56,151,180,2.9,167,182,8:26,7:46,16,46,1.14
2020-06-12 18:34:48,Running,Portland Running,2.01,312,00:18:50,156,170,3.0,163,180,9:23,7:45,26,52,1.05
2020-06-10 17:51:16,Cycling,Portland Cycling,10.92,527,01:13:26,110,142,0.6,0,0,8.9,16.7,282,256,0.0
2020-06-07 17:13:49,Running,Portland Running,3.11,473,00:27:43,162,187,3.6,168,186,8:55,7:20,43,89,1.08
2020-06-06 13:21:26,Running,Portland Running,4.05,641,00:38:07,163,178,3.9,164,188,9:24,7:59,154,184,1.04
2020-06-04 12:35:15,Walking,Portland Walking,3.31,436,00:59:01,93,111,0.5,104,113,17:51,9:13,85,62,0.87
2020-06-02 13:34:42,Running,Portland Running,2.01,266,00:17:29,150,181,2.8,159,184,8:42,7:28,30,33,1.16
2020-05-31 15:14:32,Cycling,Portland Cycling,31.78,"1,343",02:16:33,129,174,2.6,0,0,14.0,27.9,689,666,0.0
2020-05-30 19:29:48,Running,Portland Running,2.01,301,00:18:30,155,179,3.0,159,186,9:13,7:34,23,49,1.1
2020-05-29 12:34:59,Running,Portland Running,3.01,488,00:29:46,159,176,3.4,157,180,9:54,8:41,26,26,1.04
2020-05-26 11:47:18,Running,Portland Running,3.0,475,00:27:47,165,185,3.6,165,178,9:15,8:11,39,49,1.05
2020-05-24 15:37:50,Cycling,Deschutes County Cycling,12.04,802,01:16:56,130,153,2.1,0,0,9.4,21.0,315,299,0.0
2020-05-23 11:40:53,Hiking,Deschutes County Hiking,6.89,880,02:38:53,99,150,0.6,89,164,23:04,15:03,371,387,0.78
2020-05-22 13:45:53,Cycling,Deschutes County Cycling,7.67,383,00:44:34,117,146,1.0,0,0,10.3,17.3,92,85,0.0
2020-05-21 16:01:40,Hiking,Deschutes County Hiking,2.6,344,00:56:38,100,149,0.4,94,113,21:49,17:38,98,82,0.78
2020-05-19 13:50:35,Cycling,Portland Cycling,9.53,438,00:42:21,124,167,2.1,0,0,13.5,25.9,299,325,0.0
2020-05-18 18:02:52,Running,Portland Running,3.11,437,00:26:56,155,181,3.2,173,182,8:39,7:55,30,75,1.08
2020-05-17 15:36:32,Running,Portland Running,6.22,"1,002",00:59:33,163,178,4.5,169,186,9:34,8:29,59,105,1.0
2020-05-15 12:32:59,Running,Portland Running,3.11,489,00:29:08,162,184,3.5,165,182,9:22,7:53,43,62,1.04
2020-05-12 19:12:31,Running,Portland Running,4.01,633,00:38:30,159,174,3.7,163,180,9:37,7:54,59,102,1.03
2020-05-09 15:09:22,Cycling,Portland Cycling,16.01,824,01:13:12,137,169,2.8,0,0,13.1,30.2,404,400,0.0
2020-05-08 16:33:27,Running,Portland Running,3.13,495,00:29:42,162,176,3.6,165,174,9:30,8:36,59,82,1.03
2020-05-07 13:44:46,Cycling,Portland Cycling,11.44,689,00:53:04,139,174,3.1,0,0,12.9,28.7,400,381,0.0
2020-05-06 13:44:04,Running,Portland Running,3.0,442,00:26:59,160,182,3.4,165,186,8:59,7:11,49,75,1.08
2020-05-05 17:10:03,Cycling,Portland Cycling,9.6,462,01:05:20,109,144,0.6,0,0,8.8,19.1,282,282,0.0
2020-05-04 17:50:35,Running,Portland Running,2.01,283,00:17:01,162,183,3.1,168,196,8:27,7:40,13,49,1.13
2020-05-03 14:58:19,Running,Portland Running,6.24,"1,001",01:03:15,157,174,4.4,164,188,10:09,7:58,49,69,0.97
2020-05-02 17:56:17,Running,Portland Running,4.01,630,00:38:51,161,175,3.9,162,184,9:42,8:13,82,118,1.03
2020-05-01 12:10:23,Running,Portland Running,3.27,530,00:31:57,163,178,3.8,161,176,9:46,8:35,26,46,1.03
2020-04-28 17:49:38,Cycling,Portland Cycling,9.44,428,01:04:32,106,143,0.8,0,0,8.8,20.5,312,299,0.0
2020-04-27 12:36:54,Running,Portland Running,3.1,467,00:28:44,160,181,3.6,162,182,9:15,7:45,52,62,1.07
2020-04-26 12:58:01,Cycling,Portland Cycling,14.97,604,01:32:56,107,145,0.7,0,0,9.7,18.7,331,308,0.0
2020-04-25 15:37:08,Cycling,Portland Cycling,6.38,335,00:47:25,108,135,0.7,0,0,8.1,15.5,164,164,0.0
2020-04-24 13:32:27,Running,Portland Running,4.0,659,00:39:50,165,183,4.2,160,176,9:57,8:13,75,98,1.01
2020-04-22 11:46:28,Running,Portland Running,3.01,473,00:29:22,157,181,3.6,162,174,9:46,8:30,43,79,1.02
2020-04-21 18:03:26,Cycling,Portland Cycling,9.61,496,01:06:05,112,141,0.8,0,0,8.7,22.6,315,308,0.0
2020-04-20 13:15:41,Running,Portland Running,3.01,497,00:29:47,165,183,3.9,157,174,9:55,8:44,43,56,1.03
2020-04-19 13:36:23,Cycling,Portland Cycling,0.05,2,00:00:36.4,87,98,0.0,0,0,4.6,10.4,0,0,0.0
2020-04-17 16:28:44,Cycling,Portland Cycling,10.04,414,01:13:19,99,135,0.8,0,0,8.2,21.4,125,161,0.0
2020-04-15 13:33:52,Cycling,Portland Cycling,10.23,197,00:42:47,88,126,0.3,0,0,14.3,24.1,400,400,0.0
